BASIC,pack_current,pack_inst_voltage,pack_soc,relay_state,checksum,BMS_TEMP,pack_dcl,pack_ccl,BMS_high_temp,BMS_low_temp,checksum,STRINGS,high_cell_voltage,high_cell_voltage_id,low_cell_voltage,low_cell_voltage_id,checksum,BATTERY_TEMP,cell_high_temp,high_thermistor_id,cell_low_temp,low_thermistor_id,avg_temp,internal_temp,checksum,HEALTH,pack_health,adaptive_total_capacity,input_supply_voltage,checksum,CELL,cell_id,instant_voltage,internal_resistance,open_voltage,checksum,timestamp
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,3,3.7478,477,3.7481,0,2026-04-01 16:41:43.184297
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7507,21,3.6562,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,6,3.7468,477,3.7471,0,2026-04-01 16:41:43.325989
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7507,21,3.6561,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,9,3.7469,477,3.747,0,2026-04-01 16:41:43.468646
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,12,3.7488,477,3.7491,0,2026-04-01 16:41:43.977569
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7504,21,3.6562,11,37376,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,7,3.747,477,3.7471,0,2026-04-01 16:41:44.119916
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,10,3.6562,477,3.6563,0,2026-04-01 16:41:44.261635
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,13,3.7472,477,3.7472,0,2026-04-01 16:41:44.496939
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,22,3.749,477,3.7491,0,2026-04-01 16:41:44.639681
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,2,3.7425,477,3.7425,0,2026-04-01 16:41:44.783165
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,5,3.7452,477,3.7452,0,2026-04-01 16:41:44.927616
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6562,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,8,3.7462,477,3.7462,0,2026-04-01 16:41:45.068522
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6562,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,14,3.7496,477,3.7497,0,2026-04-01 16:41:45.329027
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,0,3.7331,477,3.7332,0,2026-04-01 16:41:45.536996
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6562,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,6,3.7469,477,3.747,0,2026-04-01 16:41:45.679785
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6562,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,9,3.7467,477,3.7469,0,2026-04-01 16:41:46.160951
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,1,3.7422,477,3.7424,0,2026-04-01 16:41:46.303378
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,4,3.7433,477,3.7436,0,2026-04-01 16:41:46.993548
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6562,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,2,3.7424,477,3.7424,0,2026-04-01 16:41:47.513464
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6564,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,17,3.749,477,3.7491,0,2026-04-01 16:41:47.720875
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,0,3.7331,477,3.7333,0,2026-04-01 16:41:48.032441
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,9,3.7469,477,3.7469,0,2026-04-01 16:41:48.240493
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7504,21,3.6562,11,37376,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,15,3.7502,477,3.7501,0,2026-04-01 16:41:48.760710
