BASIC,pack_current,pack_inst_voltage,pack_soc,relay_state,checksum,BMS_TEMP,pack_dcl,pack_ccl,BMS_high_temp,BMS_low_temp,checksum,STRINGS,high_cell_voltage,high_cell_voltage_id,low_cell_voltage,low_cell_voltage_id,checksum,BATTERY_TEMP,cell_high_temp,high_thermistor_id,cell_low_temp,low_thermistor_id,avg_temp,internal_temp,checksum,HEALTH,pack_health,adaptive_total_capacity,input_supply_voltage,checksum,CELL,cell_id,instant_voltage,internal_resistance,open_voltage,checksum,timestamp
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.769,7,3.673,11,59392,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,4,3.7611,481,3.7246,0,2026-04-02 11:54:26.712674
BASIC,-7.6000000000000005,86.4,2.0,46312,108,BMS_TEMP,72,24,43,20,88,STRINGS,3.7691,7,3.6732,11,60160,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,17,3.7683,481,3.7317,0,2026-04-02 11:54:26.713522
BASIC,-7.6000000000000005,86.4,2.0,46312,108,BMS_TEMP,72,24,43,20,88,STRINGS,3.7691,7,3.6731,11,59904,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27212,CELL,6,3.7691,481,3.7325,0,2026-04-02 11:54:26.779804
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.769,7,3.6732,11,59904,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,19,3.7666,481,3.73,0,2026-04-02 11:54:27.512115
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.7689,7,3.6732,11,59648,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,17,3.7682,481,3.7318,0,2026-04-02 11:54:27.924465
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.769,7,3.6734,11,60416,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,5,3.7645,481,3.7282,0,2026-04-02 11:54:28.066732
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.769,7,3.6733,11,60160,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27212,CELL,8,3.764,481,3.7274,0,2026-04-02 11:54:28.236050
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.7691,7,3.6733,11,60416,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,15,3.7677,481,3.7312,0,2026-04-02 11:54:28.758084
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.7692,7,3.6733,11,60672,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,6,3.7692,481,3.7326,0,2026-04-02 11:54:29.485628
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.7691,7,3.6734,11,60672,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,4,3.7613,481,3.7249,0,2026-04-02 11:54:29.693449
BASIC,-7.5,86.4,2.0,46312,109,BMS_TEMP,72,24,43,20,88,STRINGS,3.7691,7,3.6733,11,60416,BATTERY_TEMP,43,4,20,127,37,40,3840,HEALTH,100,0,12.6,27469,CELL,11,3.7666,481,3.73,0,2026-04-02 11:54:30.419662
